Pit,Team,Team Name,Time,Number,Time2,Number3,Time4,Number5,Time6,Table,Time7,Table8,Time9,Table10,Time11,Table12
1,46138,Aquabots,0.354166667,Library,0.364583333,218,0.375,217,0.4375,1,0.541666667,1,0.597222222,2,0.659722222,1
2,46139,Block Busters,0.375,Library,0.354166667,218,0.364583333,217,0.4375,2,0.541666667,2,0.604166667,2,0.652777778,1
3,46127,Golden Girls,0.364583333,Library,0.375,218,0.354166667,217,0.444444444,1,0.548611111,1,0.597222222,1,0.652777778,2
4,46129,Robocops,0.385416667,Library,0.395833333,218,0.40625,217,0.444444444,2,0.548611111,2,0.604166667,1,0.659722222,2
5,46128,Basketblocks,0.40625,Library,0.385416667,218,0.395833333,217,0.451388889,1,0.555555556,1,0.611111111,2,0.673611111,1
6,46131,Block Wars,0.395833333,Library,0.40625,218,0.385416667,217,0.451388889,2,0.555555556,2,0.618055556,2,0.666666667,1
7,46135,New Kids on the Block,0.427083333,Library,0.4375,218,0.447916667,217,0.375,1,0.5625,1,0.611111111,1,0.666666667,2
8,46130,The Brady Bots,0.447916667,Library,0.427083333,218,0.4375,217,0.375,2,0.5625,2,0.618055556,1,0.673611111,2
9,46132,The Series of Unfortunate Bots,0.4375,Library,0.447916667,218,0.427083333,217,0.381944444,1,0.569444444,1,0.625,2,0.6875,1
10,46136,Jock Bots,0.458333333,Library,0.46875,218,0.479166667,217,0.381944444,2,0.569444444,2,0.631944444,2,0.680555556,1
11,46137,Summertown Middle School,0.479166667,Library,0.458333333,218,0.46875,217,0.388888889,1,0.576388889,1,0.625,1,0.680555556,2
12,46134,SES Team 9,0.46875,Library,0.479166667,218,0.458333333,217,0.388888889,2,0.576388889,2,0.638888889,1,0.694444444,1
13,46133,SES Team 8,0.489583333,Library,0.5,218,0.510416667,217,0.395833333,1,0.583333333,1,0.638888889,2,0.6875,2
14,50061,Moore Coders,0.510416667,Library,0.489583333,218,0.5,217,0.395833333,2,0.583333333,2,0.631944444,1,0.694444444,2
